Task ID,작업명,담당자,검수자,상태,W1 (6/1~6/7) ★이번주,W2 (6/8~6/14),W3 (6/15~6/21),W4 (6/22~6/28),W5 (6/29~7/5),W6 (7/6~7/12),W7 (7/13~7/19)
T1,요구사항 정의서 확정,김기획,박PO,완료,■,,,,,,
T2,화면설계(와이어프레임),이디자인,김기획,진행중,▣,▣,,,,,
T0,출석 위치인증 방식 검토(스파이크),한프론트,정테크리드,대기,,▢,,,,,
T3,디자인 시스템·UI 키트,이디자인,박PO,대기,,▢,,,,,
T4,DB 설계서(ERD),최백엔드,정테크리드,검수중,▤,▤,,,,,
T5,API 명세서,최백엔드,정테크리드,대기,,▢,,,,,
T6,백엔드 구현(인증·출석),최백엔드,정테크리드,대기,,,▢,▢,,,
T7,프론트 구현(출석 화면),한프론트,이디자인,대기,,,▢,▢,,,
T8,푸시 알림,최백엔드,정테크리드,차단,,,,▥,,,
T9,통합 테스트,윤QA,정테크리드,대기,,,,,▢,,
T10,버그 수정,한프론트,윤QA,대기,,,,,,▢,
T11,베타 배포,정테크리드,박PO,대기,,,,,,,▢
T12,정식 출시,정테크리드,박PO,대기,,,,,,,▢
범례,■완료 ▣진행중 ▤검수중 ▢대기 ▥차단(주황),,,,,,,,,,
"크리티컬 패스(굵게): T1→T4→T5→T6→T8→T9→T10→T11→T12 (여유 0 연쇄, 작성자 수동 강조)",,,,,,,,,,,
