Task ID,대분류,작업명,담당자,검수자,시작일,종료일,기간(일),상태,진행률(%),신뢰도,선행,완료조건(DoD),비고
T1,기획,요구사항 정의서 확정,김기획,박PO,2026-06-01,2026-06-04,4,완료,100,높음,,SRS 승인,SRS 승인 완료
T2,설계,화면설계(와이어프레임),이디자인,김기획,2026-06-03,2026-06-09,7,진행중,60,높음,T1,주요 8화면 확정,주요 8화면
T3,설계,디자인 시스템·UI 키트,이디자인,박PO,2026-06-08,2026-06-14,7,대기,0,중간,T2,컴포넌트 키트 검수 통과,
T4,설계,DB 설계서(ERD),최백엔드,정테크리드,2026-06-05,2026-06-09,5,검수중,80,높음,T1,리뷰 통과,코드리뷰+QA 포함 단계 / 리뷰 반영 중
T5,설계,API 명세서,최백엔드,정테크리드,2026-06-08,2026-06-12,5,대기,0,중간,T4,리뷰 통과,
T6,개발,백엔드 구현(인증·출석),최백엔드,정테크리드,2026-06-15,2026-06-25,11,대기,0,중간,T5,코드리뷰 통과·빌드/린트 통과,기간에 리뷰·재작업 버퍼(~15~20%) 포함
T7,개발,프론트 구현(출석 화면),한프론트,이디자인,2026-06-15,2026-06-26,12,대기,0,낮음,T2,코드리뷰 통과·빌드/린트 통과,"신뢰도 낮음 → 스파이크 T0 선행 권고(확인 필요: 기간, 한프론트가 6/12까지 확정)"
T0,스파이크/리서치,출석 위치인증 방식 검토,한프론트,정테크리드,2026-06-10,2026-06-12,3,대기,0,중간,T2,방식 1안 결정,T7 추정 신뢰도 확보용 스파이크
T8,개발,푸시 알림,최백엔드,정테크리드,2026-06-22,2026-06-28,7,차단,0,중간,T6,코드리뷰 통과·빌드/린트 통과,차단사유: 푸시 인증서 발급 대기 / 차단원인 Task ID: T6(인증 모듈 선행)
T9,QA,통합 테스트,윤QA,정테크리드,2026-06-29,2026-07-05,7,대기,0,중간,"T7,T8",주요 시나리오 통과,QA_agents 핸드오프
T10,QA,버그 수정,한프론트,윤QA,2026-07-06,2026-07-10,5,대기,0,중간,T9,재발견 결함 0,
T11,배포,베타 배포,정테크리드,박PO,2026-07-13,2026-07-14,2,대기,0,중간,T10,스토어 심사 통과,스토어 심사
T12,배포,정식 출시,정테크리드,박PO,2026-07-15,2026-07-15,1,대기,0,중간,T11,v1.0 릴리즈,v1.0
